날짜,제목,글쓴이,조회,공감,비공감
2022.06.22 09:43,그래핀은 임원진들 팔때 사기로 판명났고,choi****,151,5,3
2022.06.22 09:37,이회사가,aa97****,130,5,1
2022.06.22 09:32,역시 돌아왔음 ..이제 하방으로,scie****,118,3,1
2022.06.22 08:07,국일이 가지고 계신분들,them****,186,5,6
2022.06.22 07:41,국일제지 주주여 누가 저평가?,kkkk****,145,0,3
2022.06.22 07:17,엠바고라 했냐 안했냐,afte****,122,1,8
2022.06.22 06:25,흐름이 조만간,azaz****,177,7,6
2022.06.21 23:07,"여보세요
				[1]",aiii****,224,3,6
2022.06.21 22:12,야 이 개미 호구 빙시 새끼들아 또 속나,jcu0****,107,5,4
2022.06.21 21:50,"구라모리스?구라플러스?
				[1]",ssib****,132,5,4
2022.06.21 21:06,"Jp모건 승
				[1]",john****,156,4,2
2022.06.21 19:43,"국일 팩트맨이다
				[1]",azaz****,175,5,3
2022.06.21 18:24,그래핀으로,leem****,146,5,3
2022.06.21 18:06,그냥 여기저기 뉴스 다 끌어오는구나,dbdl****,150,5,5
2022.06.21 17:05,맨날 피뢰침피뢰침 베토리주도 아니고 원전...,dall****,164,4,2
2022.06.21 16:49,"담배회사였나요??
				[2]",kimg****,279,9,1
2022.06.21 15:36,"오늘도
				[1]",kes5****,311,10,0
2022.06.21 15:32,"국일 존버맨이다
				[2]",007t****,214,0,7
2022.06.21 15:26,국일이는,kes5****,182,8,0
2022.06.21 15:23,"회사는
				[1]",kes5****,282,13,0
