날짜,제목,글쓴이,조회,공감,비공감
2022.02.18 17:11,과거에 12000원대까지 촉수금지라했다,inab****,415,2,4
2022.02.18 13:33,"계양 ㅡㅡ해성에서 인수하는 시나리오..?...
				[4]",casi****,1180,8,4
2022.02.18 13:04,"횡령관련 진행 사항을 알려 주세요.
				[1]",jghw****,540,6,1
2022.02.18 10:15,12초 왔으니 담으세요,rcu3****,420,2,0
2022.02.17 22:08,"반등자리다.
				[4]",namu****,545,3,4
2022.02.17 20:13,"단기과열종목?
				[2]",dpw1****,593,1,0
2022.02.17 18:36,"주식 40년 노하우
				[2]",jki4****,604,2,2
2022.02.17 15:06,"수프케이 인가 먼가...씨건방진....몰...
				[1]",dnxo****,352,3,1
2022.02.17 13:28,계양 횡령으로 이것저거 다 했다는데..,casi****,517,3,4
2022.02.17 11:17,"계양전기
				[2]",1sjl****,629,3,0
2022.02.17 11:06,계양전기,sths****,261,0,1
2022.02.17 08:44,13천 허매수 손잘리라 ㅎ,wsys****,235,1,0
2022.02.17 08:40,무조건 담아라,jki4****,280,0,1
2022.02.17 07:28,"12천까지  오늘도 내려주라
				[1]",wsys****,354,1,1
2022.02.16 22:47,"계양전기 횡령때문에 잠이 안 온다.
				[1]",dxut****,578,2,1
2022.02.16 22:32,"계양이 아버지 되시나요?
				[1]",onhy****,265,0,0
2022.02.16 17:35,"아 개잡주가 하필 반등하는날 횡령이냐고
				[2]",jung****,834,9,1
2022.02.16 17:16,이 ?벨 같은 회사는 악재떳나,egmo****,283,1,0
2022.02.16 16:24,왜? 내렸지?,oper****,280,1,2
2022.02.16 14:27,"물반 고기반 장세 굳이 문제있는 해성투자...
				[2]",cm73****,642,3,3
2022.02.16 14:16,오늘도,colo****,313,4,0
2022.02.16 14:10,계나 해나~~,fos7****,240,0,0
2022.02.16 14:01,그룹 전반적으로,0604****,338,7,0
2022.02.16 13:19,횡령  사형,parg****,303,3,0
2022.02.16 11:14,웃기네,0604****,321,3,0
2022.02.16 10:56,"계양전기 결산이 늦어지면
				[2]",ever****,589,0,2
2022.02.16 10:16,"앞으로도
				[1]",0604****,235,0,0
2022.02.16 10:01,"바로 잡을 건 바로 잡아야지
				[2]",jp1j****,394,1,0
2022.02.16 10:00,13000원 미트로,swan****,221,0,0
2022.02.16 09:37,"해성산업 자산규모에 비하면..
				[2]",8912****,560,1,1
2022.02.16 09:20,계양주주들에는 미안한 일이지만,hsko****,349,1,2
2022.02.16 09:17,"당분간ㅡㅡㅡ
				[1]",ehdu****,258,1,0
2022.02.16 09:12,"횡령배임 조심들~
				[2]",wlsd****,334,1,1
2022.02.16 08:45,"지수가 좋아도 하방은 어쩔수없음.
				[2]",jiho****,343,1,0
2022.02.16 06:26,나일롱이 뭉치 던질 때 12초 분할매수,rcu3****,250,1,0
2022.02.16 02:50,잠이나 자자,swan****,247,1,0
2022.02.16 02:46,ㅋㅋ,mdco****,225,1,0
2022.02.16 01:50,쩝. 그렇게 구두쇠 짓 하더니,jp1j****,313,5,0
2022.02.16 01:30,계양ㅈ ㄷ 딸래미잘못키?네,d321****,231,0,0
2022.02.16 01:05,단기악재는 분명한데,nose****,351,1,1
2022.02.15 23:51,"다행인게
				[1]",hyes****,456,5,2
2022.02.15 22:05,"내일 하한가임?
				[4]",sola****,780,7,3
2022.02.15 20:27,"계양 때문에 피좀보시겠네요...
				[6]",tlsg****,742,6,3
2022.02.15 18:57,"계양전기 245억 횡령, 해성산업 해성디...
				[2]",kmhy****,1002,5,2
2022.02.15 18:53,"계양전기  횡령 245억
				[3]",jm_m****,881,5,1
2022.02.15 14:47,단재완이~~,colo****,267,4,0
2022.02.15 10:27,"주총에서 제 목소리.냅시다.
				[1]",8912****,311,2,0
2022.02.14 17:33,"아직 매수 이릅니다 12자에 분할 매수
				[3]",rcu3****,296,1,2
2022.02.11 23:34,"이종목은 배당같은거없음?
				[2]",clp5****,694,0,1
2022.02.11 17:57,"2021년 실적 발표와 주총 기대해 보시...
				[1]",8912****,469,3,1
2022.02.11 14:55,이젠,colo****,226,1,1
2022.02.11 10:56,"실적 언제 나옴?
				[1]",rlac****,488,2,0
2022.02.10 21:07,재미있냐 증권애들  ㅎ,wsys****,229,1,1
2022.02.10 07:13,"물고기 없는 곳에 낚시를 던지고 종일 세...
				[2]",you7****,499,1,2
2022.02.09 21:27,여기는,sbp4****,234,0,0
2022.02.09 15:54,"시드
				[1]",hyes****,431,2,2
2022.02.08 18:23,회사대표 모하노?,davi****,292,1,0
2022.02.08 17:46,해성산업 실적발표 임박,davi****,276,1,0
