,일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
210,2021/11/09,232500,-1500,-0.64,233500,236000,230000,294367,68358540500,21498243630000,92465564
211,2021/11/10,224500,-8000,-3.44,230000,231000,224000,388706,87893623500,20758519118000,92465564
212,2021/11/11,222500,-2000,-0.89,224500,230000,222000,339673,76188071500,20573587990000,92465564
213,2021/11/12,226500,4000,1.8,226000,229000,222500,316530,71584481500,20943450246000,92465564
214,2021/11/15,228500,2000,0.88,227500,230000,224500,214782,48942686500,21128381374000,92465564
215,2021/11/16,229000,500,0.22,229000,232500,226500,229030,52654335000,21174614156000,92465564
216,2021/11/17,222500,-6500,-2.84,231000,231000,222000,358565,80191463500,20573587990000,92465564
217,2021/11/18,218500,-4000,-1.8,222500,222500,218000,292304,64272458500,20203725734000,92465564
218,2021/11/19,216500,-2000,-0.92,218000,222000,216500,275230,59980931000,20018794606000,92465564
219,2021/11/22,219500,3000,1.39,214500,219500,213500,287608,62468763000,20296191298000,92465564
220,2021/11/23,219500,0,0.0,217000,223500,216000,263065,57849887000,20296191298000,92465564
221,2021/11/24,219000,-500,-0.23,219500,221500,218000,176828,38795819500,20249958516000,92465564
222,2021/11/25,220000,1000,0.46,219000,225000,215500,259219,57035851500,20342424080000,92465564
223,2021/11/26,209000,-11000,-5.0,220000,220000,208500,626830,132796660250,19325302876000,92465564
224,2021/11/29,204500,-4500,-2.15,203000,207000,200000,544350,110798995000,18909207838000,92465564
225,2021/11/30,194500,-10000,-4.89,205500,207500,194500,781594,154685308000,17984552198000,92465564
226,2021/12/01,198500,4000,2.06,194500,202000,193000,491997,97431186000,18354414454000,92465564
227,2021/12/02,204000,5500,2.77,195000,204500,194500,340633,68632243500,18862975056000,92465564
228,2021/12/03,204500,500,0.25,206500,208000,201500,221065,45285115500,18909207838000,92465564
229,2021/12/06,204500,0,0.0,204500,206000,199500,236945,48035815500,18909207838000,92465564
230,2021/12/07,203000,-1500,-0.73,205000,206500,200500,282232,57192382500,18770509492000,92465564
231,2021/12/08,207500,4500,2.22,206000,212500,205000,543041,113740189500,19186604530000,92465564
232,2021/12/09,208000,500,0.24,208500,212500,206000,414343,86468556500,19232837312000,92465564
233,2021/12/10,217500,9500,4.57,208500,220000,207000,713368,153948383500,20111260170000,92465564
234,2021/12/13,216500,-1000,-0.46,218500,221500,215500,347233,75828997000,20018794606000,92465564
235,2021/12/14,211500,-5000,-2.31,214500,217500,211500,252365,53925669000,19556466786000,92465564
236,2021/12/15,210000,-1500,-0.71,212500,213500,208500,202406,42552470000,19417768440000,92465564
237,2021/12/16,227500,17500,8.33,212000,231000,212000,1266904,286442273000,21035915810000,92465564
238,2021/12/17,230000,2500,1.1,226500,235500,224500,718145,165590157500,21267079720000,92465564
239,2021/12/20,218000,-12000,-5.22,226500,230000,218000,522510,115835911500,20157492952000,92465564
240,2021/12/21,215500,-2500,-1.15,219500,220000,214000,343335,74316177500,19926329042000,92465564
241,2021/12/22,212500,-3000,-1.39,216500,218000,211500,255069,54725511500,19648932350000,92465564
242,2021/12/23,216500,4000,1.88,215500,219000,214500,245639,53306371000,20018794606000,92465564
243,2021/12/24,223500,7000,3.23,218000,228000,217000,386983,86694341000,20666053554000,92465564
244,2021/12/27,224000,500,0.22,223500,231000,221500,319176,72124951500,20712286336000,92465564
245,2021/12/28,226000,2000,0.89,224000,228500,223500,434368,98129176000,20897217464000,92465564
246,2021/12/29,239000,13000,5.75,227000,240000,223000,681002,158721341500,22099269796000,92465564
247,2021/12/30,238500,-500,-0.21,239000,246000,233500,647228,155442581500,22053037014000,92465564
248,2022/01/03,248000,9500,3.98,242000,252500,242000,594039,146566165000,22931459872000,92465564
249,2022/01/04,253500,5500,2.22,248500,255000,247500,734846,185346092000,23440020474000,92465564
250,2022/01/05,251000,-2500,-0.99,250500,259000,250500,568026,144315977000,23208856564000,92465564
251,2022/01/06,247500,-3500,-1.39,244500,254500,244000,534275,133285450000,22885227090000,92465564
252,2022/01/07,247000,-500,-0.2,250000,253000,244500,440815,109497650500,22838994308000,92465564
